"nm_street"
NULL
"Dix Avenue"
"64 Avenue"
"74 Avenue"
"Tioga Street"
"Great Jones Street"
"Bay 43 Street"
"West 95 Street"
"Marmion Avenue"
"Chester Avenue"
"65 Street"
"Ryder Avenue"
"Willett Street"
"Lenevar Avenue"
"West 12 Street"
"Mc Donald Avenue"
"Harrison Avenue"
"Cleveland Place"
"Cherrywood Court"
"118 Avenue"
"Benedict Avenue"
"Duryea Avenue"
"East 220 Street"
"Brooklyn Qns Expressway"
"Laurelton Parkway"
"West 260 Street"
"Otis Avenue"
"Brandis Avenue"
"Nicole Loop"
"Kent Street"
"Surf Drive"
"Beach 38 Street"
"Blackrock Avenue"
"Manhattan Avenue"
"Stephanie Drive"
"Elderts Lane"
"Burke Avenue"
"Bartholdi Street"
"East 13 Street"
"Wallace Avenue"
"Cornelia Street"
"Todt Hill Road"
"East 11 Street"
"Park Hill Lane"
"5 Avenue"
"Lyme Avenue"
"Worth Street"
"Edgewood Avenue"
"Hicks Street"
"Arden Avenue"
"71 Street"
"West 232 Street"
"82 Avenue"
"Glenwood Street"
"Perry Street"
"York Street"
"East 205 Street"
"Metropolitan Avenue"
"Grayson Street"
"Boardwalk W"
"Morningstar Road"
"Robinson Avenue"
"Elmhurst Avenue"
"Justice Avenue"
"73 Avenue"
"South 3 Street"
"Holland Avenue"
"West Drive"
"Hanson"
"Box Street"
"South William Street"
"Brighton 14 Street"
"Butler Street"
"Ditmars Boulevard"
"Grace Avenue"
"Inwood Avenue"
"Brighton Beach Avenue"
"Vedder Avenue"
"46 Road"
"West Fordham Road"
"West 250 Street"
"Surrey Place"
"Wolverine Street"
"Avenue Y"
"Lie Outer Roadway (Cdr)"
"Brookfield Avenue"
"Boerum Place"
"Edison Avenue"
"Long Street"
"W 115 St"
"East 206 Street"
"Morris Avenue"
"Astoria Boulevard South"
"Logan Avenue"
"Caton Avenue"
"Beach 20 Street"
"96 Place"
"Creamer Street"
"Barclay Street"
"Marathon Parkway"
"Grenfell Street"
"Saint Marys Street"
"112 Street"
"Throgs Neck Bridge"
"Commonwlth Avenue"
"Cranston Street"
"Barnett Avenue"
"Home Lawn Street"
"Lefferts Avenue"
"Broome Street"
"Southern Boulevard"
"Martin Luther King Jr"
"Rockaway Point Boulevard"
"Kelly Street"
"Pineville Lane"
"Willoughby Street"
"Dean Street"
"Brady Avenue"
"Flatbush Ave"
"West 63 Street"
"East 116 Street"
"Beach 73 Street"
"Merrill Street"
"Humboldt Street"
"East 114 Street"
"179 Street"
"Furman Street"
"Wallabout Street"
"42 Road"
"Rockefeller Plaza"
"Bay 52 Street"
"Edwards Avenue"
"Arion Place"
"37 Avenue"
"Stuyvesant Place"
"Canarsie Lane"
"Gillmore Street"
"National Street"
"West 254 Street"
"Lynch Street"
"Pitkin Ave"
"Wade Square"
"Harper Court"
"West 50 Street"
"Hazen Street"
"Barton Avenue"
"61 Road"
"Maiden Lane"
"Schermerhorn Street"
"24 Road"
"Latham Lane"
"Crafton Avenue"
"Bassford Avenue"
"East 131 Street"
"Beach 59 Street"
"East 18 Street"
"East 147 Street"
"Englewood Avenue"
"166 Street"
"Lortel Avenue"
"Huguenot Avenue"
"East 22 Street"
"Jesup Avenue"
"Tibbett Avenue"
"75 Street"
"153 Court"
"Page Place"
"Howard Avenue"
"East 52"
"North 9 Street"
"Mcbride Street"
"125 Avenue"
"East 136 Street"
"Coster Street"
"Ditmas Avenue"
"Norton Avenue"
"Saint James Avenue"
"West 89 Street"
"Highland Avenue"
"60 Road"
"Third Ave"
"Chappell Street"
"Belknap Street"
"Court Street"
"Center Boulevard"
"Westervelt Avenue"
"Verveelen Place"
"Penelope Ave"
"West 127 Street"
"Farragut Avenue"
"Station Square"
"Highland Place"
"Butler Place"
"Linwood Street"
"De Witt Avenue"
"Brown Street"
"Everdell Avenue"
"76 Avenue"
"Fort George Hill"
"Troutville Road"
"Scribner Avenue"
"Post Road"
"Amherst Avenue"
"107 Street"
"Wissman Avenue"
"Bay Ridge Parkway"
"Homelawn Street"
"Dahlia Avenue"
"Olcott Street"
"Williamsburg Street East"
"Hone Avenue"
"Barrow Street"
"Olmstead Avenue"
"Franklin Avenue"
"85 Drive"
"Transverse Road Number Four"
"Herkimer Street"
"Hodges Place"
"114 Avenue"
"Jordan Avenue"
"Flatbush Avenue Extension"
"Gateway Boulevard"
"West 130 Street"
"144 Avenue"
"258 Street"
"Transverse Road Number One"
"54 Road"
"Bulova Avenue"
"Outlook Avenue"
"Page Avenue"
"Forest Parkway"
"Carroll Place"
"Merrick Boulevard"
"Allen Street"
"Richmond Road"
"West 6 Street"
"East 221 Street"
"91 Avenue"
"Bay 46 Street"
"Metropolitan Oval"
"79 Place"
"Berry Street"
"East 125 Street"
"Hoover Avenue"
"Tiemann Avenue"
"Edgerton Boulevard"
"Korean War Vets Parkway"
"Stanton Street"
"Staten Island Expressway"
"Blake Avenue"
"Food Center Drive"
"Beach 95 Street"
"Faile Street"
"East 199 Street"
"172 Street"
"East 151 Street"
"Naples Terrace"
"Norton Drive"
"Duane Street"
"Ridgedale Street"
"Ocean Court"
"Fresh Meadow Lane"
"Sharrotts Lane"
"Morris Park Avenue"
"Provost Street"
"Buffalo Avenue"
"Lacombe Avenue"
"141 Street"
"Pettit Avenue"
"69 Lane"
"Rockland Avenue"
"Seneca Avenue"
"East 45 Street"
"Laconia Avenue"
"Reservoir Avenue"
"Beaumont Avenue"
"20 Lane"
"Loring Place North"
"Menahan Street"
"Parkside Place"
"Water Street"
"Inwood Street"
"31 Street"
"Dover Street"
"107 Avenue"
"Enright Road"
"South 2 Street"
"W 120 St"
"Grove Avenue"
"62 Avenue"
"W 37 St"
"West 2 Street"
"De Kalb Avenue"
"Roff Street"
"215 Street"
"Allendale Street"
"21 Street"
"Garfield Street"
"Fort Independence Street"
"West 99 Street"
"Brighton 11 Street"
"Barker Avenue"
"Stafford Avenue"
"80 Avenue"
"West 55 Street"
"Gelston Avenue"
"East 236 Street"
"Jay Avenue"
"Combs Avenue"
"North End Avenue"
"W 58 Street"
"Woodpoint Road"
"Hamilton Terrace"
"Richmond Avenue"
"Monterey Street"
"Oakland Place"
"Baltic Street"
"West 238 Street"
"Argyle Road"
"Allen Avenue"
"Holly Avenue"
"138 Street"
"College Point Boulevard"
"East 233 Street"
"Seward Avenue"
"West 3 Street"
"West 86 Street"
"East 26 Street"
"Union Square West"
"Bronx River Parkway Ramp"
"50 Street"
"120 Road"
"Waverly Avenue"
"Brisbin Street"
"Ramona Avenue"
"Harway Avenue"
"West 175 Street"
"138 Road"
"Teller Avenue"
"195 Place"
"Alstyne Avenue"
"Gramercy Park North"
"Frederick Douglass Boulevard"
"Sedgwick Avenue"
"Oakland Avenue"
"Hudson Parkway"
"Brown Avenue"
"Thomas S. Boyland St"
"Glenwood Place"
"Bay 50 Street"
"Catherine Street"
"East 5 Street"
"200 Street"
"Brooklyn Queens Expy (Cdr)"
"Poplar Avenue"
"Randolph Street"
"76 Street"
"Home Place"
"Dinsmore Avenue"
"Varet Street"
"Hempstead Avenue"
"Shirley Avenue"
"East 161 Street"
"Ada Drive"
"126 Avenue"
"Rutgers Street"
"Audubon Avenue"
"Campus Road"
"Crommelin Street"
"Mansion Avenue"
"Hughes Avenue"
"New Dorp Plaza"
"Beach 113 Street"
"Mount Olivet Crescent"
"Benziger Avenue"
"Winant Avenue"
"Orchard Beach Road"
"Hutchinson River Parkway Ramp"
"Hudson Street"
"Harding Expressway"
"Harvard Avenue"
"Meehan Avenue"
"Gleason Avenue"
"W 21 Street"
"Satterlee Street"
"Lamont Avenue"
"Kingston Place"
"Paerdegat 11 Street"
"32 Avenue"
"Dr Theodore Kazimiroff Blvd"
"Paerdegat 12 Street"
"Maurice Avenue"
"Prospect Place"
"Pitt Street"
"Chatham Square"
"Fieldway Avenue"
"East 165 Street"
"West 7 Street"
"Treadwell Avenue"
"Milton Street"
"Saint Nicholas Terrace"
"Ocean Promenade"
"Elm Street"
"Kissel Avenue"
"Woodbine Street"
"Brooklyn Avenue"
"Locust Avenue"
"East 65 Street"
"84 Drive"
"Mott Street"
"Tyrellan Avenue"
"Flagg Place"
"East 124 Street"
"Barnwell Avenue"
"Timpson Place"
"159 Avenue"
"Coddington Avenue"
"East 163 Street"
"Un Plaza"
"Ryer Avenue"
"94 Street"
"Batchelder Street"
"Gatling Place"
"East 51 Street"
"Creston Avenue"
"Spencer Avenue"
"Remington Street"
"Saint Johns Avenue"
"Brookville Boulevard"
"East 110 Street"
"Beach 116 Street"
"Laburnum Avenue"
"Harrison Place"
"148 Avenue"
"Autumn Avenue"
"Shakespeare Avenue"
"Monroe Street"
"East 35 Street"
"East 232 Street"
"Avenue Z"
"Pitkin Avenu"
"East 82 Street"
"1St Avenue"
"233 Street"
"17 Street"
"Marion Street"
"Gulf Avenue"
"161 Place"
"East 133 Street"
"City Hall Park"
"Huntington Avenue"
"Erika Loop"
"Westwood Avenue"
"East 164 Street"
"146 Street"
"Livingston Street"
"Brighton 2 Street"
"Adele Street"
"Mcclellan Street"
"West 87 Street"
"Springfield Boulevard"
"East 210 Street"
"Hoffman Drive"
"Metrotech Center"
"Park Drive North"
"Minerva Place"
"35 Ave"
"West 96 Street"
"East 132 Street"
"Boller Avenue"
"West 106 Street"
"Pearl Street"
"East 92 Street"
"Meridian Road"
"Nassau Street"
"East 112 Street"
"Lefferts Boulevard"
"237 Street"
"West 185 Street"
"Kessel Street"
"Halleck Street"
"Valentine Avenue"
"Butler Avenue"
"204 Street"
"163 Avenue"
"Reeds Mill Lane"
"Avenue F"
"East 126 Street"
"Nameoke Street"
"Andrews Avenue"
"East 203 Street"
"59 Drive"
"Bijou Avenue"
"Rutledge Street"
"118 Street"
"211 Street"
"Macon Street"
"Pennsylvania Avenue"
"225 Street"
"169 Street"
"Crawford Avenue"
"Murdock Avenue"
"Palmetto Street"
"Hannah Street"
"Gansevoort Boulevard"
"Elmwood Park Drive"
"116 Road"
"Myrtle Avenue"
"Darrow Place"
"Greenwich Street"
"Robinson Street"
"Grand Central Pkwy"
"East 96 Street"
"Meadow Street"
"Bay 20 Street"
"East 60 Place"
"Grace Court"
"Parsons Blvd"
"Douglas Avenue"
"24 Avenue"
"Powell Street"
"Glen Street"
"East 159 Street"
"Beach 117 Street"
"Heyward Street"
"Coffey Street"
"Buttrick Avenue"
"Chatterton Avenue"
"Vancleef Street"
"Twin Pines Drive"
"Neptune Avenue"
"208 Street"
"Francis Lewis Boulevard"
"West 77 Street"
"Ascan Avenue"
"Westside Avenue"
"70 Street"
"Hassock Street"
"West 19 Street"
"Mayville Street"
"Ericsson Place"
"York Avenue"
"Gowanus Expy (Bqe)"
"Miller Avenue"
"Northfield Avenue"
"Eckford Street"
"Marsh Avenue"
"Brewer Boulevard"
"Russell Street"
"Third Avenue"
"Beach 105 Street"
"Macdougal Street"
"Lawton Avenue"
"Scarboro Avenue"
"Taaffe Place"
"Harlem River Drive Ramp"
"Buffalo Street"
"East 222 Street"
"Pacific Street"
"Waters Place"
"Oakdale Street"
"City Boulevard"
"Pilgrim Avenue"
"East 72 Street"
"Grant Highway"
"Dudley Avenue"
"Grasmere Avenue"
"Maclay Avenue"
"West 146 Street"
"Lenox Avenue"
"Cauldwell Avenue"
"Paerdegat Avenue North"
"Noell Avenue"
